proteina,ligando,afinidad_kcal_mol,estado,log
1ao6,PEG-dithiol_n_3,-3.649,ok,logs_final\1ao6_PEG-dithiol_n_3_log.txt
1ao6,3-Mercapto-1-propanesulfonic_acid_MPS,-3.585,ok,logs_final\1ao6_3-Mercapto-1-propanesulfonic_acid_MPS_log.txt
1ao6,3-Mercaptopropionic_acid,-3.343,ok,logs_final\1ao6_3-Mercaptopropionic_acid_log.txt
1ao6,Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,-3.279,ok,logs_final\1ao6_Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol_log.txt
1ao6,Thioglycolic_acid_mercaptoacetic_acid,-3.074,ok,logs_final\1ao6_Thioglycolic_acid_mercaptoacetic_acid_log.txt
1ao6,1-Butanethiol,-3.07,ok,logs_final\1ao6_1-Butanethiol_log.txt
1ao6,Polyethyleneimine_fragment_ethylenediamine,-2.975,ok,logs_final\1ao6_Polyethyleneimine_fragment_ethylenediamine_log.txt
1ao6,Thioacetic_acid,-2.705,ok,logs_final\1ao6_Thioacetic_acid_log.txt
1ao6,Cysteamine_2-aminoethanethiol,-2.571,ok,logs_final\1ao6_Cysteamine_2-aminoethanethiol_log.txt
1ao6,Mercaptoethanol_2-mercaptoethanol,-2.571,ok,logs_final\1ao6_Mercaptoethanol_2-mercaptoethanol_log.txt
1hzh,Folic_acid,-8.75,ok,logs_final\1hzh_Folic_acid_log.txt
1hzh,Doxorubicin_proxy_daunorubicin_aglycone,-7.94,ok,logs_final\1hzh_Doxorubicin_proxy_daunorubicin_aglycone_log.txt
1hzh,Tannic_acid_approx,-7.524,ok,logs_final\1hzh_Tannic_acid_approx_log.txt
1hzh,Methotrexate,-7.407,ok,logs_final\1hzh_Methotrexate_log.txt
1hzh,Curcumin,-7.302,ok,logs_final\1hzh_Curcumin_log.txt
1hzh,Gemcitabine,-6.985,ok,logs_final\1hzh_Gemcitabine_log.txt
1hzh,Biotin,-6.402,ok,logs_final\1hzh_Biotin_log.txt
1hzh,RGD_peptide_Arg-Gly-Asp,-6.305,ok,logs_final\1hzh_RGD_peptide_Arg-Gly-Asp_log.txt
1hzh,TAT_peptide_fragment_YGRKKK_6_aa,-6.133,ok,logs_final\1hzh_TAT_peptide_fragment_YGRKKK_6_aa_log.txt
1hzh,HEPES,-5.747,ok,logs_final\1hzh_HEPES_log.txt
1hzh,Glutathione_GSH,-5.569,ok,logs_final\1hzh_Glutathione_GSH_log.txt
1hzh,Arginine,-5.494,ok,logs_final\1hzh_Arginine_log.txt
1hzh,Citric_acid,-5.439,ok,logs_final\1hzh_Citric_acid_log.txt
1hzh,Lipoic_acid_thioctic_acid,-5.311,ok,logs_final\1hzh_Lipoic_acid_thioctic_acid_log.txt
1hzh,Mannose,-5.292,ok,logs_final\1hzh_Mannose_log.txt
1hzh,Histidine,-5.211,ok,logs_final\1hzh_Histidine_log.txt
1hzh,Sodium_citrate_citrate3-,-5.172,ok,logs_final\1hzh_Sodium_citrate_citrate3-_log.txt
1hzh,Dihydrolipoic_acid_DHLA,-5.111,ok,logs_final\1hzh_Dihydrolipoic_acid_DHLA_log.txt
1hzh,D-Galactose,-5.085,ok,logs_final\1hzh_D-Galactose_log.txt
1hzh,D-Glucose,-5.079,ok,logs_final\1hzh_D-Glucose_log.txt
1hzh,11-Mercaptoundecanesulfonic_acid_MUS,-5.009,ok,logs_final\1hzh_11-Mercaptoundecanesulfonic_acid_MUS_log.txt
1hzh,5-Fluorouracil,-4.926,ok,logs_final\1hzh_5-Fluorouracil_log.txt
1hzh,Lysine,-4.851,ok,logs_final\1hzh_Lysine_log.txt
1hzh,SDS_dodecyl_sulfate_anion,-4.842,ok,logs_final\1hzh_SDS_dodecyl_sulfate_anion_log.txt
1hzh,4-Mercaptobenzoic_acid,-4.841,ok,logs_final\1hzh_4-Mercaptobenzoic_acid_log.txt
1hzh,CTAB_cetyltrimethylammonium_cation,-4.811,ok,logs_final\1hzh_CTAB_cetyltrimethylammonium_cation_log.txt
1hzh,PVP_monomer_N-vinyl-2-pyrrolidone,-4.531,ok,logs_final\1hzh_PVP_monomer_N-vinyl-2-pyrrolidone_log.txt
1hzh,1-Dodecanethiol,-4.525,ok,logs_final\1hzh_1-Dodecanethiol_log.txt
1hzh,11-Mercaptoundecanoic_acid_MUA,-4.506,ok,logs_final\1hzh_11-Mercaptoundecanoic_acid_MUA_log.txt
1hzh,Dithiothreitol_DTT,-4.448,ok,logs_final\1hzh_Dithiothreitol_DTT_log.txt
1hzh,4-Aminothiophenol,-4.245,ok,logs_final\1hzh_4-Aminothiophenol_log.txt
1hzh,L-Homocysteine,-4.206,ok,logs_final\1hzh_L-Homocysteine_log.txt
1hzh,Methionine,-4.194,ok,logs_final\1hzh_Methionine_log.txt
1hzh,PEG-amine_n_3_proxy,-4.18,ok,logs_final\1hzh_PEG-amine_n_3_proxy_log.txt
1hzh,6-Mercaptohexanoic_acid,-4.096,ok,logs_final\1hzh_6-Mercaptohexanoic_acid_log.txt
