ligando,nanoparticula,proteina,ICNB_0_100,ICNB_global_0_100,ICNB_bruto,ranking_ICNB_por_proteina,ranking_ICNB_global,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
Dihydrolipoic_acid_DHLA,Au_13,1ao6,27.59084684928606,27.64409351965263,-0.2011237079085889,81,250,-5.228,-2.34,0.2853826930332223,-0.6876301088504001,-0.4022474158171777,-0.2011237079085888
11-Mercaptoundecanesulfonic_acid_MUS,Ag_13,1ao6,27.479135322100653,27.53272160082707,-0.2047987584791213,82,252,-5.275,-2.24,0.3168087258498867,-0.7264062428081293,-0.4095975169582425,-0.2047987584791212
SDS_dodecyl_sulfate_anion,Ag_13,1ao6,27.407998507287523,27.461801045316914,-0.20713899496546878,83,253,-5.268,-2.24,0.3121282528771917,-0.7264062428081293,-0.4142779899309375,-0.2071389949654687
4-Mercaptobenzoic_acid,Au_13,1ao6,27.06240193924566,27.11725510729147,-0.2185083218071688,84,258,-5.176,-2.34,0.2506134652360625,-0.6876301088504001,-0.4370166436143376,-0.2185083218071688
Dihydrolipoic_acid_DHLA,Ag_13,1ao6,27.00150242264106,27.05654072811602,-0.2205117748874535,85,259,-5.228,-2.24,0.2853826930332223,-0.7264062428081293,-0.4410235497749069,-0.2205117748874534
11-Mercaptoundecanoic_acid_MUA,Au_13,1ao6,26.950615515967886,27.005808520061226,-0.22218583628571464,86,261,-5.165,-2.34,0.2432584362789708,-0.6876301088504001,-0.4443716725714293,-0.2221858362857146
4-Mercaptobenzoic_acid,Ag_13,1ao6,26.47305751260067,26.529702315754864,-0.2378963887860334,87,266,-5.176,-2.24,0.2506134652360625,-0.7264062428081293,-0.4757927775720668,-0.2378963887860334
11-Mercaptoundecanoic_acid_MUA,Ag_13,1ao6,26.36127108932289,26.418255728524617,-0.24157390326457923,88,269,-5.165,-2.24,0.2432584362789708,-0.7264062428081293,-0.4831478065291584,-0.2415739032645792
Arginine,Au_13,1ao6,25.3652807858467,25.42529328297775,-0.27433967798145475,89,276,-5.009,-2.34,0.1389507528874906,-0.6876301088504001,-0.5486793559629095,-0.2743396779814547
Arginine,Ag_13,1ao6,24.7759363592017,24.83774049144114,-0.29372774496031934,90,281,-5.009,-2.24,0.1389507528874906,-0.7264062428081293,-0.5874554899206387,-0.2937277449603193
Histidine,Au_13,1ao6,24.765699060993168,24.82753431510643,-0.2940645283663822,91,282,-4.95,-2.34,0.0995010521176357,-0.6876301088504001,-0.5881290567327644,-0.2940645283663822
D-Glucose,Au_13,1ao6,24.308390965765902,24.371616458255428,-0.30910890577861494,92,290,-4.905,-2.34,0.0694122972931702,-0.6876301088504001,-0.6182178115572298,-0.3091089057786149
Histidine,Ag_13,1ao6,24.176354634348176,24.239981523569824,-0.3134525953452468,93,291,-4.95,-2.24,0.0995010521176357,-0.7264062428081293,-0.6269051906904936,-0.3134525953452468
D-Glucose,Ag_13,1ao6,23.719046539120907,23.78406366671882,-0.3284969727574795,94,294,-4.905,-2.24,0.0694122972931702,-0.7264062428081293,-0.6569939455149589,-0.3284969727574794
Sodium_citrate_citrate3-,Au_13,1ao6,23.35312516684672,23.419254712833325,-0.340534938595279,95,297,-4.811,-2.34,0.0065602316598421,-0.6876301088504001,-0.6810698771905579,-0.3405349385952789
D-Galactose,Au_13,1ao6,23.302313156265914,23.36859717318322,-0.34220653608552704,96,298,-4.806,-2.34,0.003217036679346,-0.6876301088504001,-0.6844130721710541,-0.342206536085527
Citric_acid,Au_13,1ao6,22.885654669503285,22.953205348052297,-0.3559136355055614,97,300,-4.765,-2.34,-0.0241971621607227,-0.6876301088504001,-0.7118272710111229,-0.3559136355055614
Sodium_citrate_citrate3-,Ag_13,1ao6,22.76378074020172,22.831701921296716,-0.3599230055741436,98,302,-4.811,-2.24,0.0065602316598421,-0.7264062428081293,-0.7198460111482871,-0.3599230055741435
D-Galactose,Ag_13,1ao6,22.712968729620915,22.781044381646606,-0.3615946030643916,99,303,-4.806,-2.24,0.003217036679346,-0.7264062428081293,-0.7231892061287832,-0.3615946030643916
Mannose,Au_13,1ao6,22.43850897639219,22.50741899913132,-0.3706236934197444,100,304,-4.721,-2.34,-0.0536172779890887,-0.6876301088504001,-0.7412473868394889,-0.3706236934197444
