ligando,n_layerposition,mem_distribution_mean,mem_distribution_min,mem_distribution_max,mem_distribution_center,mem_distribution_argmax_depth,mem_distribution_argmin_depth,mem_free_energy_mean,mem_free_energy_min,mem_free_energy_max,mem_free_energy_center,mem_free_energy_argmax_depth,mem_free_energy_argmin_depth,mem_meanentropy_mean,mem_meanentropy_min,mem_meanentropy_max,mem_meanentropy_center,mem_meanentropy_argmax_depth,mem_meanentropy_argmin_depth,mem_distribution_sum,mem_distribution_nonzero_center,mem_free_energy_barrier,mem_logP,mem_logP_kg_l,mem_logPerm,mem_diffusion_E9_mean,mem_diffusion_E9_min,mem_diffusion_E9_max,mem_diffusion_E9_center,mem_diffusion_E9_argmax_depth,mem_diffusion_E9_argmin_depth
6-Mercaptohexanoic_acid,30,0.0333333333333332,0.0001051760315052,0.15257197711405,0.0001051760315052,14.23,0.57,-0.964898681286044,-2.7971147717638,1.6896261434382,1.6896261434382,0.57,14.23,7.99902298027,0.0017321712,30.0,1.0,,,0.9999999999999972,1,4.486740915202001,1.64906136,1.54445588,-0.43110346,0.2702732049506363,9.2532793968171e-05,1.0320685959663,0.1727943388921,33.58,16.51
Arginine,30,0.0333333333333333,3.8118425407733995e-12,0.089391293392353,3.8118425407733995e-12,26.75,0.57,3.640364555274178,-0.23402677412775,14.482838284526,14.482838284526,0.57,26.75,8.116426107023335,0.0155289495,30.0,1.0,,,1.000000000000001,1,14.71686505865375,-0.51017894,-0.61478442,-8.64006978,0.2137865366100258,7.5068659982133e-05,0.8157673822482,0.13891624652782,33.58,16.51
Biotin,30,0.0333333333333328,9.4786956211439e-08,0.11264003541338,9.4786956211439e-08,24.47,0.57,1.5604148235519093,-0.94585387872719,7.6754337125759,7.6754337125759,0.57,24.47,8.159489899175,0.0071497962,30.0,1.0,,,0.999999999999986,1,8.621287591303089,0.31587399,0.21126851,-4.09064739,0.181031506632165,6.3804411227891e-05,0.68687469064692,0.12192206051218,33.58,16.51
CTAB_cetyltrimethylammonium_bromide,30,0.0333333333333335,4.672516242636699e-12,0.40577919967876,4.672516242636699e-12,21.06,0.57,0.1265104139788483,-6.843262088006,8.6805042800599,8.6805042800599,0.57,21.06,9.333150082533331,0.790165802,30.0,1.0,,,1.0000000000000049,1,15.5237663680659,4.08494343,3.98033795,-4.83794749,0.07230165309532266,2.822610406938e-05,0.27047673445136,0.054098227598122,33.58,16.51
Citric_acid,30,0.0333333333333332,7.3380293419901e-13,0.19079707661399,7.3380293419901e-13,18.78,0.57,1.0394382502732418,-3.9893516498834,12.210291997362,12.210291997362,0.57,18.78,8.088149781606335,0.00113414981,30.0,1.0,,,0.9999999999999974,1,16.199643647245402,2.39998681,2.29538133,-6.9741622,0.24383799570069667,7.8484246245838e-05,0.93379162666556,0.16794525516701,33.58,16.51
Curcumin,30,0.0333333333333334,3.8284384430632e-07,0.23559919956057,3.8284384430632e-07,21.06,0.57,-0.5586561081193829,-3.930223035931,4.2854813189663,4.2854813189663,0.57,21.06,8.715715638638333,0.0747026723,30.0,1.0,,,1.0000000000000049,1,8.215704354897301,2.26609154,2.16148606,-2.2559156,0.08947619438234332,3.1448942446252e-05,0.33745359107205,0.063411614322045,33.58,16.51
Cysteamine_2-aminoethanethiol,30,0.0333333333333332,0.0012271341010633,0.063222788001733,0.0012271341010633,25.61,0.57,0.2517431649523298,-0.3697578858657,2.059809431312,2.059809431312,0.57,25.61,7.8039042984534,0.000234528404,30.0,1.0,,,0.999999999999998,1,2.4295673171777,0.05776919,-0.04683629,-1.8788397,0.37563936829006495,0.00013084020734053,1.4378244150773,0.23536008577618,33.58,16.51
D-Galactose,30,0.0333333333333335,1.8834918340606997e-12,0.13021368936883,1.8834918340606997e-12,23.34,0.57,3.094113528986954,-1.1378346552349,14.245370000293,14.245370000293,0.57,23.34,7.900495317669618,0.000598179167,30.0,1.0,,,1.0000000000000058,1,15.3832046555279,0.42167428,0.3170688,-8.42678642,0.2509919134302473,8.4474472860964e-05,0.95430063979391,0.17260461745887,33.58,16.51
D-Glucose,30,0.0333333333333332,2.6644023902747e-13,0.11677002630876,2.6644023902747e-13,22.2,0.57,3.311877783641869,-1.2086645288164,15.312757323101,15.312757323101,0.57,22.2,7.877172815511567,0.000705506594,30.0,1.0,,,0.999999999999998,1,16.5214218519174,0.54999656,0.44539108,-9.18439111,0.24644440003378912,8.2045797136538e-05,0.93679174558087,0.17042024430143,33.58,16.51
Dihydrolipoic_acid_DHLA,30,0.0333333333333332,3.2894438310071e-06,0.15384408452418,3.2894438310071e-06,15.37,0.57,-0.7499896490497449,-3.076232378788,3.5511624488239,3.5511624488239,0.57,15.37,8.1322191248,0.0109485442,30.0,1.0,,,0.9999999999999964,1,6.6273948276119,1.84561708,1.7410116,-1.10276027,0.2088272056001053,7.2030727888553e-05,0.79624429135064,0.1357207106206,33.58,16.51
